"Data Source","World Development Indicators",

"Last Updated Date","2026-07-13",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Aruba","ABW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","2.04313585766076","2.4612743823206","2.07408121648211","2.34171003828715","2.09779385317617","2.09931924577849","2.04115812416206","2.17421723781396","2.15361846098594","2.30965061799515","2.67543470385558","3.15886454416186","3.65072312663923","3.99368696162682","4.15749788793361","3.95889701231658","3.71312834203977","3.82504565059898","3.95205730252205","3.95610107005084","3.9653684899496","3.66302617485697","3.88585000053382","4.88687540169967","5.18981251773362","5.19352130336882","4.77358568603647","3.7120864698374","2.92246712426778","3.07453775198049","2.60072770764722","2.15311895438742","1.82373047474075","1.81332724536626","1.81675428988793","2.2645202768771","1.98006307111707","1.91760768586603","1.97717272759503","1.753497070004","1.79951130030776","1.68479751946806","1.71708369554799","1.67615859759136","1.94152184542772","1.95482011411346","1.56762170528029","1.52556629819029","1.55789030661037","1.75177986327415","1.80567801344556","1.54125944697699","1.28292702147345","1.28828816005651","1.12677049123997","1.07839784231125","1.15798924880059","1.14573626973176","1.11784161432876","1.04401581183837","0.977470029362093","",
"Afghanistan","AFG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","1.62960609911055","","","1.86891025641026","1.61082474226804","1.72206572769953","2.04608695652174","2.0114747930775","","","","","","","","","","","","","","","","","","","","","","","","","","","2.43125378739118","1.99206569856085","1.89623399634252","2.56626735198569","2.335545701939","2.08741255278385","1.94583569418812","1.82134545354632","1.17541612009987","1.07694976762403","1.29801287790022","0.994575822723645","0.956772140958855","0.945226799939516","1.00674585570556","1.17096838242129","1.35885692738929","1.827933856217","","","","",
"Africa Western and Central","AFW","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","1.31471581400447","1.31333102644613","1.44184541418655","1.46835895392531","1.36672116191477","","5.39674585044926","6.26760960626426","3.94045401695422","3.10481139581203","3.79475660855557","3.74991932288916","3.33007464144611","5.56163313705685","4.30230005735399","4.27198178987283","3.78892376524712","3.20114329850032","2.4776641157231","2.49040405860265","2.10199689025771","2.07781189184814","1.58357797906172","1.53868101156931","1.49896155482826","1.22358026467533","1.26419788169234","1.11117651704025","1.1446053013656","1.13220311331109","1.09510095985559","1.23548106043831","0.952521013467019","0.637582407409271","0.536495470495695","0.560306498355564","0.646061654027409","0.989737523392204","0.829603006613512","1.03826229529965","1.11173617032891","0.911921981361559","0.843866507513435","0.676015624777172","0.640368990324336","0.690477934417135","0.815407446639873","0.90568242340585","0.824579048128985","0.800118887721686","0.711070613000603","0.765531240869348","0.727418510845505","0.674809079225442","0.812911476533473","0.813312532600007","0.837804277887703","0.724800590336116","0.884490387935561","1.13082731577442","0.922745924514364","1.13383134832722","1.16836530518557","",
"Angola","AGO","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","1.715E-05","1.73E-05","22.25","21.9805","19.4323333333333","17.4636666666667","7.1025","5.68283054258138","17.5225890755741","5.70928069083604","4.70739276826233","2.44784815671705","5.97226820719497","2.64201188106298","17.334692213616","6.39260315427404","4.52435381521461","2.86993244512575","3.76147907354734","3.47118018672779","3.69224094698531","3.76149530543532","3.11405449295742","3.57312038062707","4.70961004832072","4.1775845224338","3.25566035129376","3.23665949921649","4.45523942155109","4.69845451564414","3.10542629308278","2.73333494465123","2.50798280550579","1.95578680987962","1.76791430458684","1.81042916830117","1.39322266365773","1.410163657162","1.40725542077164","1.00049213337543","",
"Albania","ALB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","6.05202163275818","5.84831705344366","5.65159574468085","5.44128198995456","6.11750454270139","5.65142619937141","5.62618650405569","5.86222892264873","5.61731662843362","5.16761272357288","5.8883007196812","5.79127042184833","4.6708878237371","3.19945106674965","2.54781906037648","2.05358735905793","1.37902962734156","1.28308078036268","1.23824256064749","1.24921009885957","1.24636024189216","1.30929137475594","1.32003449433204","1.33684292419802","1.38115794211088","1.35000497056322","1.56776908873068","1.8207653435572","1.98486885667765","1.5172171395597","1.55859189302349","1.52826633776627","1.48708257655216","1.40898210141146","1.34651599128914","1.16230386432234","1.10358100880452","1.10915100558884","1.16054478505068","1.28080596201472","1.29583570269739","1.24298808396067","1.20878861551122","1.7407334644623","2.03786228936679","",
"Andorra","AND","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","5.05386932982595","5.83584844221629","6.23719932985615","6.55792429391589","6.66744568233948","6.80070915635738","7.55704936414573","8.03799525276901","7.75442296503066","7.13935845661278","7.59370840202151","","","","9.8719709197613","9.87938496620203","8.99694955701824","8.01756665336771","9.2104123635639","11.1504295569571","11.0480041408291","11.54092436387","10.3870131220713","","8.56545408129307","8.06122572932813","","","10.7531411771274","8.60775617200932","7.85171467432786","7.40876731326277","6.6204569703484","6.02638012975333","6.57746276369648","7.47289019335929","6.42331411292563","6.38398880161276","6.2989892241931","5.78196287678653","5.36425011032181","4.97945156122265","4.55803980206239","4.30344358933252","4.44045189165015","4.12263905682291","5.19921947747462","4.94669615939128","4.83461855232734","4.92777441295888","5.67108185488772","6.2726436075363","7.31077998162651","5.99519243891728","6.22624897868562","5.73467744653773","5.24790371554307","5.56124409878732","4.96438862204442","4.49525133897211","5.16793926485664","5.24154742574133","",
"United Arab Emirates","ARE","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.75906148063517","8.62972120984848","7.6695379976034","8.3237222448449","5.61210552340521","4.87553180534483","4.69230626722928","4.6114776396626","3.65647067832081","3.22597447304637","3.28052136989454","3.6680226492701","5.45710777311036","6.03859220826788","5.46631452753061","5.07555649376756","6.03468625064444","5.64365135247024","","","","","","","","","","","",
"Argentina","ARG","Military expenditure (% of GDP)","MS.MIL.XPND.GD.ZS","1.55","2.14","2.66","1.68","1.15","1.07","1.168","1.4","1.68571428571429","1.9375","1.87777777777778","1.80769230769231","1.82380952380952","1.84857142857143","1.65918367346939","2.04195804195804","3.78129117259552","4.00860009555662","4.71914405808177","4.67335625570135","3.09895833333333","3.46534653465347","2.70455793520044","2.73881278538813","2.16203914428767","2.29971724787936","2.31367874921125","2.2843868799904","2.12493922313663","1.88036559239223","1.45090921225786","1.50692655529635","1.42122223348777","1.42280290057293","1.45703853325047","1.47307310721151","1.24122726437626","1.14013911131295","1.13631802186333","1.22035954754993","1.14882267666887","1.18423354187058","1.09188047859748","1.06089505704838","0.883295358833529","0.847154783885961","0.788233877461469","0.792548175031362","0.762756475390461","0.886508576686385","0.814878118220695","0.764287095310235","0.784824735364742","0.83773642721392","0.878100924236765","0.850128597463815","0.809245362717563","0.84775481125944","0.732300347538541","0.699696134379197","0.734111593948744","0.631788619254705","0.684586409291956","0.75569413987974","0.618350391157195","",
